id,name,wnsynsetkey,main_wnsynsetkey,main_category,super_category,floorplanner-category-tags,hasReceptacles,hasMultipleObjects,foundIn,support,dims,aligned.dims
0001fb06b075a743e6289236cf049df3ad5dfa9c,"Ryde Single Control Exposed Mini Valve with Adjustable Riser, Vintage gold",showerhead.n.01,,,,"Shower heads & Hoses,Bathroom,Showers & Shower accessories",,False,bathroom,vertical,,"0.3956500291824341,1.009962022304535,0.2367790780408542"
000bbe302b53fd2904e7ae92e1516a18f29de02d,Antique Style Mirrored and Engraved Indian Tea Glass Tealight Holder h 9.5cm,candlestick.n.01,,,,"Votives & Tea light holders,Living room,Accessories,Candles & Candle holders & Home fragrance",,False,living room,,,"0.06005765497684479,0.10000018775463104,0.060357242822647095"
0022fa6ee5a44330e765488919803155b1a9e88c,Coppercomb Waste Bin,ashcan.n.01,ashcan.n.01,trashcan,trashcan,"Bathroom bins,Furniture types,Accessories,Bathroom,Bathroom accessories,Storage,Garbage bins,Storage accessories,Garage & storage",,False,bathroom,,,"0.1928401216864586,0.2529520297050505,0.1928400844335556"
0024ddad62413ac3089b4efe58b90b01c41123e8,2 doors 2 drawers Chinese hand-painted chest.,,,,,"Trunks & Chests,Bedroom,Living room storage,Bedroom furniture,Bedroom storage,Living room,Furniture types,Storage,Living room furniture,Garage & storage,__ARTICULATABLE",,False,"bedroom,living room",,,"0.8000330328941345,0.6000260909171722,0.3819834887981415"
00258bed0c6e87a14e33c3eebffc48c898135698,Lismore Table Clock,mantel_clock.n.01,mantel_clock.n.01,mantel_clock,clock,"Clocks,Living room,Accessories",,False,living room,,,"0.16058842092752457,0.2504031773423776,0.16504930332303047"
002f87c8e4e2b870387e095797a2f40b30e7baec,Hampton chocolate stripe cushion - Cushion,throw_pillow.n.01,cushion.n.03,cushion,decor,"Cushions,Bedroom,Living room,Accessories,Cushions,bean bags & Throws",,False,"bedroom,living room",,,"0.44999997317790985,0.34798956383019686,0.3718249052762985"
0030aabddff541fbd378e38ae2d8597aecbfc757,"Moon Coffee Table 120, Grey Emperador Marble Top",coffee_table.n.01,table.n.02,table,support_furniture,"Coffee tables,Tables,Living room,Furniture types,Living room furniture",True,False,living room,,,"1.19541335105896,0.4500873875185789,1.19541335105896"
0034b3becda06d5dbecdf52f1842e5069e126af2,La Cage Pendant,pendant_lamp.n.01,ceiling_lamp.n.01,ceiling_lamp,lighting,"Pendant lights,Ceiling lighting,Lighting,Indoor lighting,Room lighting,Living room lighting",,False,,top,,"0.2096884697675705,1.30321625949,0.2370666116476059"
00366b86401aa16b702c21de49fd59b75ab9c57b,Catalina Outdoor sofa,sofa.n.01,sofa.n.01,couch,seating_furniture,"Garden furniture,Garden & Outdoor",True,False,patio,,,"2.1238298416137695,0.7661299109458924,0.9002905488014221"
00386b5179df69aec660a71fb9c65b344857d016,Bottle,vase.n.01,vase.n.01,vase,decor,Accessories,,False,,,,"0.22220692038536072,0.44999854578571785,0.2188311368227005"
003949689122adfc2370d64c0615edc1b257db83,"60X96 Rug, Taiga Ivory/Black",rug.n.01,rug.n.01,carpet,floor_covering,"Rugs,Accessories",,False,,,,"2.4384000301361084,0.01499999958105036,1.5239999294281006"
0039699ff96422d70b73397371664863025d75e8,BILD poster,wall_art.n.01,wall_art.n.01,picture,decor,"Posters,Accessories,Art",,False,,vertical,,"0.7000019252300262,1.0000002980232239,0.004999999986856518"
0040287f3af79d7b02985600e23469d319007792,"Dotto place mat, Light Grey",place_mat.n.01,,,,"Table mats & Placemats,Kitchen,Accessories,Tableware,Kitchen & Dining accessories,Linens,Kitchen & Table linen,Dining room,Tabletop",,False,"kitchen,dining room",,,"0.391323059797287,0.004999999888241334,0.3898901343345642"
0042224f50400c921142bc9777c28823dfc728ab,Infinity Aperture Photo Frame Collage,wall_art.n.01,wall_art.n.01,picture,decor,"Photo frames,Accessories,Photo frames & Photo albums",,False,,vertical,,"0.550000011920929,0.7599999904632568,0.014999999664724126"
004315b97305e4c6986491dfc1057ae72b91537e,"Pierce Dining Table, Black",dining_table.n.01,table.n.02,table,support_furniture,"Dining tables,Tables,Dining room furniture,Living room,Furniture types,Dining room,Living room furniture",True,False,"living room,dining room",,,"2.1844000816345215,0.7619869709014894,1.0667999982833862"
00474f62f75a5047b51a4e6f7072a51d0d00afef,"Wendy Round Dining Table, Black Marble",dining_table.n.01,table.n.02,table,support_furniture,"Dining tables,Tables,Dining room furniture,Living room,Furniture types,Dining room,Living room furniture",True,False,"living room,dining room",,,"0.8999999761581421,0.762046680321248,0.8984773457050323"
0048aa55e40dab26ce2b71e75489a72aae764419,Graphite gloss bamboo platter,plate.n.04,plate.n.04,plate,dining_ware,"Serving dishes & Platters,Kitchen,Accessories,Crockery,Kitchen & Dining accessories,Dining room,Plates,Tabletop",,False,"kitchen,dining room",,,"0.35000111162662506,0.06000000496299407,0.35000109672546387"
004db3bd065eb72d8303f33c5bad163326cf1bd9,sculpture of a Face.,sculpture.n.01,,,,"Sculptures,Accessories,Art",,False,,,,"0.23912568390369415,0.23179412593761306,0.3810953199863434"
004e36a469b1e97720f54b114d251782cd41bfaa,7 Deadly Scents Candles,,,,,"Scented & Aromatherapy candles,Living room,Accessories,Candles & Candle holders & Home fragrance,Candles",,True,living room,,,"0.3499999940395355,0.07459793647285551,0.11004409566521645"
005b673d5ded782d54be17969159917dfc9ae0f2,Margot Office Chair,swivel_chair.n.01,chair.n.01,chair,seating_furniture,"Office chairs,Office,Home office furniture,Furniture types,Chairs,Chairs & stools",True,False,office,,,"0.5068887174129486,0.8595879077911377,0.6113280951976776"
00662bccdee49ca148d0c96929286db6d6d3c267,Andaman Queen Bed,double_bed.n.01,bed.n.01,bed,sleeping_furniture,"Queen size beds,Bedroom,Beds,Bedroom furniture,Furniture types,Beds & Bed accessories",,False,bedroom,,,"1.7648237943649292,1.2000000572204588,2.3000000715255737"
006ea4bce9bbe0c73d6d47776b25e76265235722,Latitude Garden Table,table.n.02,table.n.02,table,support_furniture,"Garden tables,Garden furniture,Garden & Outdoor",True,False,patio,,,"1.7000000476837158,0.759999990463257,0.8999999761581421"
006eea1eca393d904a660ddf703ba24a541b9d46,Powder Blue Set of 3 Small Canisters,,,,,"Jars & Canisters,Kitchen,Furniture types,Accessories,Small kitchen storage,Kitchen & Dining accessories,Storage,Garage & storage",,True,kitchen,,,"0.2847803086042404,0.11956554376760842,0.0810479074716568"
0070649630e7b2262ec0427c0e2035232240fb4d,Cornell Swivel Office Chair,swivel_chair.n.01,chair.n.01,chair,seating_furniture,"Office chairs,Office,Home office furniture,Furniture types,Chairs,Chairs & stools",True,False,office,,,"0.635447770357132,0.8558132909383858,0.618852823972702"
0071f864b2cc52a7ecd4603f5f92bcdcdc93a2d1,Garden Tool Panel,,,,,"Garage & storage,Garage",,True,,vertical,,"1.552743911743164,1.9300009608268738,0.17759878019569414"
0074b6bf5758fd7186157fd3a8d53afe3e200cba,Alexandra 74'' Media Console,tv_stand.n.01,stand.n.04,stand,support_furniture,"TV stands & Cabinets,Living room storage,Living room,Furniture types,Home entertainment,Audio visual storage,Storage,Living room furniture,Garage & storage,__ARTICULATABLE",True,False,living room,,,"1.8796011805534363,0.6866677428479306,0.49365200102329254"
00759595cbb0f07062154e6a0b07de033871c0e1,18.5 left front wall,,,,,"Special purpose structures,Architecture",,False,,,,"0.4699000120162964,0.40000000596046464,1.2573000192642212"
00770bbb6345e851e425d78c333c4baababf3729,Cubes & Triangles Canvas Print 80X3X80 Cm-Multicolor,wall_art.n.01,wall_art.n.01,picture,decor,"Art,Accessories",,False,,vertical,,"0.800000011920929,0.800000011920929,0.029999999329448013"
007ac3dc7a89e1e403c1340a4fd61fdc75ca053d,Mulberry Home 12 Bar Stripe Cushion,throw_pillow.n.01,cushion.n.03,cushion,decor,"Cushions,Bedroom,Living room,Accessories,Cushions,bean bags & Throws",,False,"bedroom,living room",,,"0.4741937667131424,0.34536517690867186,0.2758764773607254"
0081c522ffe7910c701191c44b0f797a69a8548a,,bed.n.01,bed.n.01,bed,sleeping_furniture,"Headboards,Bedroom,Beds & Bed accessories,Bed accessories",,False,bedroom,,,"3.3473998308181763,0.5644949084625068,2.1502026319503784"
0082238889bd1b4ab20d0f9e3a444f5b61664e3a,ProCasa Cinque Wandbidet/Bidet mural/Bedet murale,toilet.n.02,toilet.n.02,toilet,bathroom_fixtures,"Toilets,Bathroom",True,False,bathroom,vertical,,"0.35797733068466187,0.4798528030514717,0.5243063271045685"
00826491ee9361be3f199d05588c5dfae493f0cd,Balcony,balcony.n.02,,,,Architecture,True,False,,,,"2.0001423358917236,0.664778582751751,1.1014856100082397"
008cc6178827f98658c83a3b33124a0ca7ad3c26,"Fidji Outdoor Canopy, White",bed.n.01,bed.n.01,bed,sleeping_furniture,"Garden furniture,Garden & Outdoor",,False,patio,,,"1.6005109548568726,1.955802804484847,1.9651763439178467"
0091ed73925f43dda0dd03d8a71b88ccfa65fbb1,Balian Beach Art Painting,wall_art.n.01,wall_art.n.01,picture,decor,"Art prints,Accessories,Art",,False,,vertical,,"1.0,0.7000000178813934,0.006846198812127339"
0092599e2477209980084af7df385284843a3ff3,Storm Wall Light (STO0750),wall_lamp.n.01,wall_lamp.n.01,wall_lamp,lighting,"Wall sconces,Wall lighting & Wall lights,Lighting,Indoor lighting,Room lighting,Living room lighting",,False,,vertical,,"0.07999999821186066,0.4394831955432892,0.11999999731777519"
0097dd7add1d9d8fdc58a446796dcde8c6f80238,"Centurion 5 Blade Ceiling Fan 132cm , Bronze",ceiling_fan.n.01,,,,"Ceiling fans,Heating & Cooling,Fans,Heating & Cooling,Heating & Cooling electricals,Architecture",,False,,top,,"1.2266970872879028,0.6162634567969931,1.2866346836090088"
009de394cd2d691583965e0235ff47ea2d8ebf5f,"Taylor Twin Over Twin Bunk Bed With USB, White",bunk_bed.n.01,bed.n.01,bed,sleeping_furniture,"Bunk beds,Kids' room,Bedroom,Kids' beds,Beds,Bedroom furniture,Furniture types,Kids' furniture,Beds & Bed accessories,Kids & baby room",,False,"bedroom,kids room",,,"1.3079392313957214,1.650575497187674,2.118018865585327"
009f96f4bd369a2294a1b29538c52b14ec792a54,Erebus Buffet Mirror,wall_mirror.n.01,mirror.n.01,mirror,mirror,"Wall mirrors,Bedroom,Mirrors,Accessories,Bedroom accessories,Bedroom mirrors,Living room mirrors",,False,bedroom,vertical,,"1.1956813335418701,0.8971249461174011,0.03697880916297455"
009f9df21592e289bc08c4562f21dce15fced6fb,"Small Tower Laundry Hamper, White",hamper.n.02,,,,"Laundry bins & Baskets & Hampers,Accessories,Bathroom,Bathroom accessories,Laundry accessories",,False,bathroom,,,"0.3552975505590439,0.6409075948068903,0.3322116583585739"
009fc9a64b1408e3e14591fd54ac06bfce96478b,Granit Bowl,bowl.n.01,bowl.n.01,bowl,dining_ware,,,False,,,,"0.15958905220031738,0.04993670996384658,0.15958905965089798"
00a1a59b75fae9b7e42a128ce2249158dfa7d847,"Fuchsia Orchids in Glass, 12''",pot_plant.n.01,pot_plant.n.01,potted_plant,plant,"Indoor plants & flowers,Living room,Accessories,Decorative & Living accessories,flower_in_vase",,False,living room,,,"0.49260637164115906,0.3493929231538573,0.4735611826181412"
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6,Maharani Bookcase,bookcase.n.01,bookcase.n.01,shelves,storage_furniture,"Bookcases,Living room storage,Living room,Furniture types,Storage,Living room furniture,Garage & storage,__ARTICULATABLE",True,True,living room,,,"1.0,2.049999952316284,0.45000000298023224"
00a3d5c105208365240029f50413fe059423b6e6,Hemsby 3 Taphole Basin Mixer Rose Gold,faucet.n.01,,,,"Basin taps & Mixers,Bathroom,Bathroom taps",,False,bathroom,,,"0.24275200814008713,0.14947762647352647,0.17141656577587128"
00a843989a32df31a10bc8129fa6801d768855c5,Picture-Tropic I,wall_art.n.01,wall_art.n.01,picture,decor,"Art prints,Accessories,Art",,False,,vertical,,"0.7619999647140503,1.015999972820282,0.05079999938607249"
00a896b002a685b0366798b1d3a96a20e96cf560,"Green Christmas Tree, 6ft",tree.n.01,,,,"Christmas trees,Christmas,Christmas decoration,Party & events",,False,,,,"1.078887701034546,2.2501563453115523,1.0806355476379395"
00aa8e497d988558e9989d410b1409fc7751f216,Sphere crystal ceiling light,ceiling_lamp.n.01,ceiling_lamp.n.01,ceiling_lamp,lighting,"Ceiling lighting,Lighting,Indoor lighting",,False,,top,,"0.5130519568920135,0.6180069895209499,0.5132489204406738"
